component_id,settlement_id,component_type,source_event_id,amount_paise,direction
COMP_TAX_FV0058,SET_FV0058,TAX_ON_FEE,PAY_FV0058,860,DEBIT
COMP_PAY_FV0059,SET_FV0059,PAYMENT,PAY_FV0059,143346,CREDIT
COMP_FEE_FV0059,SET_FV0059,GATEWAY_FEE,PAY_FV0059,4403,DEBIT
COMP_TAX_FV0059,SET_FV0059,TAX_ON_FEE,PAY_FV0059,792,DEBIT
COMP_PAY_MN0060,SET_MN0060,PAYMENT,PAY_MN0060,135219,CREDIT
COMP_FEE_MN0060,SET_MN0060,GATEWAY_FEE,PAY_MN0060,2704,DEBIT
COMP_TAX_MN0060,SET_MN0060,TAX_ON_FEE,PAY_MN0060,486,DEBIT
COMP_PAY_MN0061,SET_MN0061,PAYMENT,PAY_MN0061,219534,CREDIT
COMP_FEE_MN0061,SET_MN0061,GATEWAY_FEE,PAY_MN0061,4390,DEBIT
COMP_TAX_MN0061,SET_MN0061,TAX_ON_FEE,PAY_MN0061,790,DEBIT
COMP_PAY_MN0062,SET_MN0062,PAYMENT,PAY_MN0062,125349,CREDIT
COMP_FEE_MN0062,SET_MN0062,GATEWAY_FEE,PAY_MN0062,2506,DEBIT
COMP_TAX_MN0062,SET_MN0062,TAX_ON_FEE,PAY_MN0062,451,DEBIT
COMP_PAY_MN0063,SET_MN0063,PAYMENT,PAY_MN0063,253693,CREDIT
COMP_FEE_MN0063,SET_MN0063,GATEWAY_FEE,PAY_MN0063,5073,DEBIT
COMP_TAX_MN0063,SET_MN0063,TAX_ON_FEE,PAY_MN0063,913,DEBIT
COMP_PAY_MN0064,SET_MN0064,PAYMENT,PAY_MN0064,228549,CREDIT
COMP_FEE_MN0064,SET_MN0064,GATEWAY_FEE,PAY_MN0064,4570,DEBIT
COMP_TAX_MN0064,SET_MN0064,TAX_ON_FEE,PAY_MN0064,822,DEBIT
COMP_PAY_MS0069,SET_MS0069,PAYMENT,PAY_MS0069,350602,CREDIT
COMP_FEE_MS0069,SET_MS0069,GATEWAY_FEE,PAY_MS0069,7012,DEBIT
COMP_TAX_MS0069,SET_MS0069,TAX_ON_FEE,PAY_MS0069,1262,DEBIT
COMP_PAY_MS0070,SET_MS0070,PAYMENT,PAY_MS0070,394430,CREDIT
COMP_FEE_MS0070,SET_MS0070,GATEWAY_FEE,PAY_MS0070,7888,DEBIT
COMP_TAX_MS0070,SET_MS0070,TAX_ON_FEE,PAY_MS0070,1419,DEBIT
COMP_PAY_MS0071,SET_MS0071,PAYMENT,PAY_MS0071,333605,CREDIT
COMP_FEE_MS0071,SET_MS0071,GATEWAY_FEE,PAY_MS0071,6672,DEBIT
COMP_TAX_MS0071,SET_MS0071,TAX_ON_FEE,PAY_MS0071,1200,DEBIT
COMP_PAY_MS0072,SET_MS0072,PAYMENT,PAY_MS0072,227453,CREDIT
COMP_FEE_MS0072,SET_MS0072,GATEWAY_FEE,PAY_MS0072,4549,DEBIT
COMP_TAX_MS0072,SET_MS0072,TAX_ON_FEE,PAY_MS0072,818,DEBIT
COMP_PAY_AMB0073_A,SET_AMB_0073_A,PAYMENT,PAY_AMB_0073_A,189753,CREDIT
COMP_FEE_AMB0073_A,SET_AMB_0073_A,GATEWAY_FEE,PAY_AMB_0073_A,3795,DEBIT
COMP_TAX_AMB0073_A,SET_AMB_0073_A,TAX_ON_FEE,PAY_AMB_0073_A,683,DEBIT
COMP_PAY_AMB0073_B,SET_AMB_0073_B,PAYMENT,PAY_AMB_0073_B,189753,CREDIT
COMP_FEE_AMB0073_B,SET_AMB_0073_B,GATEWAY_FEE,PAY_AMB_0073_B,3795,DEBIT
COMP_TAX_AMB0073_B,SET_AMB_0073_B,TAX_ON_FEE,PAY_AMB_0073_B,683,DEBIT
COMP_PAY_AMB0074_A,SET_AMB_0074_A,PAYMENT,PAY_AMB_0074_A,220769,CREDIT
COMP_FEE_AMB0074_A,SET_AMB_0074_A,GATEWAY_FEE,PAY_AMB_0074_A,4415,DEBIT
COMP_TAX_AMB0074_A,SET_AMB_0074_A,TAX_ON_FEE,PAY_AMB_0074_A,794,DEBIT
COMP_PAY_AMB0074_B,SET_AMB_0074_B,PAYMENT,PAY_AMB_0074_B,220769,CREDIT
COMP_FEE_AMB0074_B,SET_AMB_0074_B,GATEWAY_FEE,PAY_AMB_0074_B,4415,DEBIT
COMP_TAX_AMB0074_B,SET_AMB_0074_B,TAX_ON_FEE,PAY_AMB_0074_B,794,DEBIT
COMP_PAY_AMB0075_A,SET_AMB_0075_A,PAYMENT,PAY_AMB_0075_A,172401,CREDIT
COMP_FEE_AMB0075_A,SET_AMB_0075_A,GATEWAY_FEE,PAY_AMB_0075_A,3448,DEBIT
COMP_TAX_AMB0075_A,SET_AMB_0075_A,TAX_ON_FEE,PAY_AMB_0075_A,620,DEBIT
COMP_PAY_AMB0075_B,SET_AMB_0075_B,PAYMENT,PAY_AMB_0075_B,172401,CREDIT
COMP_FEE_AMB0075_B,SET_AMB_0075_B,GATEWAY_FEE,PAY_AMB_0075_B,3448,DEBIT
COMP_TAX_AMB0075_B,SET_AMB_0075_B,TAX_ON_FEE,PAY_AMB_0075_B,620,DEBIT
